科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学Ⅰ,2.0,工学基礎科目,自然科学科目,数学,必修,1,前期,,後期に再履修クラスを開講初歩クラスは週2コマ,,,,
線形代数学Ⅰ,2.0,工学基礎科目,自然科学科目,数学,必修,1,前期,,後期に再履修クラスを開講オープン科目,,,,
数学演習B,2.0,工学基礎科目,自然科学科目,数学,必修,1,前期,,後期に再履修クラスを開講,,,,
数理・データサイエンス入門,2.0,工学基礎科目,自然科学科目,情報,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,工学基礎科目,自然科学科目,情報,必修,1,前期,基礎要件,,,,,
物理学実験,1.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,週2コマ開講、「化学実験」との隔週開講初回の履修は、前期開講のクラスを履修すること,,,,
化学実験,1.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,週2コマ開講、「物理学実験」との隔週開講初回の履修は、前期開講のクラスを履修すること,,,,
基礎物理学,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期,,後期に再履修クラスを開講,,,,
物理学A,2.0,工学基礎科目,自然科学科目,自然科学技術,択一必修,1,後期,,基礎物理学、物理学A～Cのいずれか1科目を修得のこと（択一必修）,,,,
物理学B,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,後期,,,,,,
物理学C,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,後期,,,,,,
基礎化学,2.0,工学基礎科目,自然科学科目,自然科学技術,択一必修,1,後期,,基礎化学、科学技術概論A～Eのいずれか1科目を修得のこと（択一必修）科学技術概論A～Eはオープン科目,,,,
科学技術概論A,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論B,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論C,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論D,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論E,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,,,,,
ハンズオンワークショップ,2.0,工学基礎科目,ハンズオンワークショップ,自然科学技術,必修,1,後期,,,,,,
